Date,Name,X,Y,Z
2155-07-01,Mercury,-28629412.272981532,33009269.483803906,20653035.665684562
2155-07-01,Venus,-3709140.1872681044,97528273.37326352,44170584.34722504
2155-07-01,Earth,18379650.017723866,-139013781.42262232,-60221990.432471335
2155-07-01,Mars,-159577524.46056592,-156676716.72582212,-67609491.27958567
2155-07-01,Jupiter,157735625.18472472,684547559.4676063,289511322.3522366
2155-07-01,Saturn,-1272794584.1307979,492481571.21000576,258593300.6221738
2155-07-01,Uranus,-248698244.14919588,-2623538037.9527855,-1145481396.0595505
2155-07-01,Neptune,1069133103.5580866,-4053728046.378931,-1685829377.362658
2155-07-01,Pluto,639028370.2746664,6571184768.207555,1858330231.969803
2155-08-01,Sun,0.0,0.0,0.0
2155-08-01,Mercury,-30346547.097836383,-56591916.942125686,-27051552.760660607
2155-08-01,Venus,-84780559.42781532,57377645.43783229,31208122.071662847
2155-08-01,Earth,90458254.32010663,-112570491.77998228,-48771933.22792931
2155-08-01,Mars,-104388108.91804142,-185094705.26926416,-82117301.24729499
2155-08-01,Jupiter,122933418.43917896,691673697.5340949,293409497.68291944
2155-08-01,Saturn,-1284303649.269939,470218681.5640617,249889849.8330856
2155-08-01,Uranus,-230655060.9875153,-2625619483.0452857,-1146647602.9076643
2155-08-01,Neptune,1083178200.433949,-4050313074.606675,-1684781351.0358806
2155-08-01,Pluto,628697980.1531057,6569295453.530218,1860853282.4976962
2155-09-01,Sun,0.0,0.0,0.0
2155-09-01,Mercury,53616171.95363238,-15070919.233622076,-13530336.855893947
2155-09-01,Venus,-104863682.56054848,-24325197.28072687,-4321479.800724987
2155-09-01,Earth,138509066.24599126,-56337988.3486686,-24418210.05819301
2155-09-01,Mars,-40849829.13676407,-198639188.97359967,-90024883.00792779
2155-09-01,Jupiter,87866758.2843548,697309589.0147972,296675482.1593024
2155-09-01,Saturn,-1295357616.6329439,447789251.0753204,241097883.99259666
2155-09-01,Uranus,-212602609.30155468,-2627595555.7617173,-1147767791.792969
2155-09-01,Neptune,1097212100.0415518,-4046856247.7841477,-1683715914.889718
2155-09-01,Pluto,618365730.3504807,6567386709.511035,1863370829.590373
2155-10-01,Sun,0.0,0.0,0.0
2155-10-01,Mercury,-43387482.63639065,22077714.652951412,16342494.956653645
2155-10-01,Venus,-52752458.18776961,-87922693.45947005,-36256073.15588868
2155-10-01,Earth,149505065.5720577,12576839.371301213,5429844.919609341
2155-10-01,Mars,24032324.75651384,-195322569.4699293,-90233678.47949733
2155-10-01,Jupiter,53751756.7473433,701341951.7207799,299231223.33317083
2155-10-01,Saturn,-1305619212.1234944,425932695.91164404,232508415.7941895
2155-10-01,Uranus,-195124358.9925071,-2629407570.2884502,-1148808027.0074844
2155-10-01,Neptune,1110782494.600791,-4043471110.5994554,-1682668280.3257968
2155-10-01,Pluto,608365035.446085,6565521027.176824,1865801913.7329733
2155-11-01,Sun,0.0,0.0,0.0
2155-11-01,Mercury,-17800005.635939594,-60677650.38991994,-30523739.347995006
2155-11-01,Venus,37307418.71124117,-92933829.74847107,-44199940.86519243
2155-11-01,Earth,120323849.44283824,79949058.39784467,34610967.99171412
2155-11-01,Mars,88745081.7282412,-173929881.8642799,-82146009.12640822
2155-11-01,Jupiter,18388263.077418257,704040001.2816523,301245471.52222735
2155-11-01,Saturn,-1315770163.856121,403200103.6682891,223552096.7647027
2155-11-01,Uranus,-177055804.50518864,-2631176346.811351,-1149837655.9490693
2155-11-01,Neptune,1124793935.2834017,-4039932019.365297,-1681568614.6618223
2155-11-01,Pluto,598029210.5884073,6563574015.962084,1868308595.048257
2155-12-01,Sun,0.0,0.0,0.0
2155-12-01,Mercury,54060669.61990475,-3565786.5230253655,-7421053.764002923
2155-12-01,Venus,100636160.89360173,-36314143.37158485,-22696899.48345094
2155-12-01,Earth,59631994.32493498,123571670.95481686,53506352.42970782
2155-12-01,Mars,142959918.00062802,-136708208.07949898,-66517256.85151996
2155-12-01,Jupiter,-15871835.191766784,705233101.0284729,302588037.8414101
2155-12-01,Saturn,-1325153467.9799538,381065942.92686546,214809907.3773602
2155-12-01,Uranus,-159563338.8339416,-2632787792.9927616,-1150790251.1096833
2155-12-01,Neptune,1138342322.5345066,-4036467333.702538,-1680487873.44729
2155-12-01,Pluto,588025110.1782364,6561671278.269577,1870729140.516506
2156-01-01,Sun,0.0,0.0,0.0
2156-01-01,Mercury,-53186700.24740692,8532041.505908001,10121534.43781161
2156-01-01,Venus,97128543.23427421,46098946.95166449,14644793.60290838
2156-01-01,Earth,-19653958.04442682,133287706.76200765,57716188.14250923
2156-01-01,Mars,184222650.83710414,-84300650.23282465,-43577009.33391278
2156-01-01,Jupiter,-51239857.2462691,705007483.0018256,303349530.5610161
2156-01-01,Saturn,-1334392659.8394685,358062809.0775435,205702339.4294052
2156-01-01,Uranus,-141481506.80767354,-2634349365.8910193,-1151729320.7898352
2156-01-01,Neptune,1152330740.5679429,-4032846107.5353246,-1679354017.2395623
2156-01-01,Pluto,577685822.4402598,6559685953.211978,1873224907.6591542
2156-02-01,Sun,0.0,0.0,0.0
2156-02-01,Mercury,-4397843.521787501,-61905141.46635011,-32558085.815176822
2156-02-01,Venus,25740470.64425136,95677282.64174548,41484742.92743247
2156-02-01,Earth,-93093797.75196454,104052153.63812198,45054793.15755289
2156-02-01,Mars,205877554.45451796,-22956953.179414287,-16014716.139762454
2156-02-01,Jupiter,-86500369.13030967,703309360.1149546,303477408.89004153
2156-02-01,Saturn,-1343165604.0900793,334934699.87852764,196522953.9108054
2156-02-01,Uranus,-123394007.40691374,-2635805684.351035,-1152622373.3534596
2156-02-01,Neptune,1166307242.7822323,-4029183191.3600974,-1678202800.8916693
2156-02-01,Pluto,567344818.0076461,6557681139.35357,1875715109.6791303
2156-03-01,Sun,0.0,0.0,0.0
2156-03-01,Mercury,51459726.95293638,8110933.73750518,-906984.1335767582
2156-03-01,Venus,-58578227.37491518,80023971.89275487,39760715.51603989
2156-03-01,Earth,-137590050.2971869,48940293.3954253,21184745.02053013
2156-03-01,Mars,206479796.84488207,36739162.30633597,11353128.44736686
2156-03-01,Jupiter,-119324440.86854504,700399218.9632246,303026788.27001524
2156-03-01,Saturn,-1350948941.4326441,313193054.957821,187873791.5505875
2156-03-01,Uranus,-106468956.38101733,-2637072791.3744173,-1153416155.0149803
2156-03-01,Neptune,1179371119.0053575,-4025718880.8768263,-1677110149.7046454
2156-03-01,Pluto,557669446.8306581,6555788014.353824,1878039604.2565718
2156-04-01,Sun,0.0,0.0,0.0
2156-04-01,Mercury,-57181294.46088542,-2303579.059111534,4747827.941893924
2156-04-01,Venus,-106354352.7982613,7902906.62746902,10295488.886517007
2156-04-01,Earth,-146820673.39599934,-23287336.24222279,-10099819.4646321
2156-04-01,Mars,186763602.2539742,96791050.98710932,39425887.968540326
2156-04-01,Jupiter,-154172085.49713397,695890690.9116503,301940318.3249946
2156-04-01,Saturn,-1358814789.1305401,289847006.31623024,178565099.91581312
2156-04-01,Uranus,-88372550.94870064,-2638325498.6173964,-1154220159.9702992
2156-04-01,Neptune,1193324145.726394,-4021975373.464283,-1675925363.3826478
2156-04-01,Pluto,547325202.6037065,6553745446.183789,1880518999.4529057
2156-05-01,Sun,0.0,0.0,0.0
2156-05-01,Mercury,2526707.469348348,-61395419.10164237,-32996859.8600648
2156-05-01,Venus,-79808055.50123957,-68293512.91653152,-25699474.434809245
2156-05-01,Earth,-116565321.18611649,-87394891.43858002,-37868620.4406805
2156-05-01,Mars,150490649.24201477,146076681.68615493,63001308.64368764
2156-05-01,Jupiter,-187594998.1563035,690169629.3093561,300299676.6895528
2156-05-01,Saturn,-1365978711.6563518,267158526.14118943,169497822.21165884
2156-05-01,Uranus,-70856524.80835049,-2639437692.1696076,-1154954435.6100097
2156-05-01,Neptune,1206815325.0833144,-4018313027.8576803,-1674762296.8388412
2156-05-01,Pluto,537313090.464407,6551750178.028095,1882913080.4836118
2156-06-01,Sun,0.0,0.0,0.0
2156-06-01,Mercury,42785810.00056594,22600486.53027547,7735779.490451535
2156-06-01,Venus,3133282.0360322483,-99476133.53936192,-44981898.49008865
2156-06-01,Earth,-54018081.411473386,-130220399.67469834,-56420590.90563764
2156-06-01,Mars,99728661.28974952,184050745.00675365,81774067.89633594
2156-06-01,Jupiter,-221754901.79964963,682875356.8204031,298002756.2588696
2156-06-01,Saturn,-1372917162.021561,243623231.19240806,160070805.58218536
2156-06-01,Uranus,-52753846.88132775,-2640483565.4729595,-1155667944.3855286
2156-06-01,Neptune,1220743927.939325,-4014487722.754635,-1673543423.1478846
2156-06-01,Pluto,526965664.8018308,6549669180.388557,1885381440.5167284
2156-07-01,Sun,0.0,0.0,0.0
2156-07-01,Mercury,-58485848.709997304,-13052809.822813258,-859158.5237198416
2156-07-01,Venus,82442610.99994479,-63824543.28157925,-33932458.821542524
2156-07-01,Earth,20644631.541544307,-138703833.76459634,-60098615.38629392
2156-07-01,Mars,42635822.252558574,206237825.91814947,93473660.46651947
2156-07-01,Jupiter,-254385833.54204947,674500703.6154966,295205765.5940135
2156-07-01,Saturn,-1379181569.5510576,220767345.63201442,150895435.69606075
2156-07-01,Uranus,-35233104.68491942,-2641395691.7898016,-1156314665.4229274
2156-07-01,Neptune,1234211199.7980485,-4010746286.007251,-1672347389.869906
2156-07-01,Pluto,516950528.8310362,6547636700.069504,1887764818.7959826
2156-08-01,Sun,0.0,0.0,0.0
2156-08-01,Mercury,16014312.71017678,-58182583.41181563,-32670224.602930363
2156-08-01,Venus,107991447.39514647,15876499.002962109,352545.58802643046
2156-08-01,Earth,92350034.22958623,-111414463.42083776,-48282553.95849429
2156-08-01,Mars,-19557220.287735168,213506049.18193635,98465456.13852862
2156-08-01,Jupiter,-287600009.0550556,664512972.5065843,291731681.4462577
